signal_trade_date,execution_trade_date,symbol,action,reason,signal_label_pg,phase_window_semantic,regime_proxy_semantic,event_state,pre_open_event_status,overnight_adverse_event_count,overnight_supportive_event_count,order_notional,weight_vs_initial_capital,open_to_close_return,close_location,intraday_range_return,close_from_high,gap_from_signal_close_to_open,forward_return_10,max_favorable_return_10,max_adverse_return_10,failure_type,supervision_label
20251114,20251117,003009,open,phase_geometry_preheat_probe,probe_eligibility_target,preheat_window,risk_off_deterioration_proxy,event_neutral,no_decisive_event,0,0,36421.0,0.036421,-0.02594657,0.05641026,0.03856041,-0.03503427,0.0,0.21576846,0.21576846,-0.0243513,,ambiguous_non_override
20251114,20251117,688523,open,phase_geometry_preheat_probe,neutral_hold,preheat_window,risk_off_deterioration_proxy,event_neutral,no_decisive_event,0,0,38808.0,0.038808,0.01082251,0.68333333,0.04411765,-0.01338028,0.0,0.37427746,0.37427746,-0.10368497,,clean_control
20251114,20251117,688568,open,phase_geometry_preheat_probe,neutral_hold,preheat_window,risk_off_deterioration_proxy,event_neutral,no_decisive_event,0,0,36855.0,0.036855,-0.001221,0.19230769,0.02555283,-0.02012458,0.0,0.05571776,0.05571776,-0.03090024,,ambiguous_non_override
20251114,20251117,688066,open,phase_geometry_preheat_probe,neutral_hold,preheat_window,risk_off_deterioration_proxy,event_neutral,no_decisive_event,0,0,39392.0,0.039392,-0.01177904,0.52380952,0.02625,-0.01218027,0.0,0.12674897,0.12674897,-0.05802469,,clean_control
20251114,20251117,300045,open,phase_geometry_preheat_probe,neutral_hold,preheat_window,risk_off_deterioration_proxy,event_neutral,no_decisive_event,0,0,38080.0,0.03808,0.03660714,0.78095238,0.046875,-0.0098081,0.0,-0.00089087,0.03429844,-0.04587973,,clean_control
20251117,20251118,003009,add,phase_geometry_preheat_probe,probe_eligibility_target,preheat_window,weak_drift_chop_proxy,event_neutral,no_decisive_event,0,0,19928.0,0.019928,-0.01886792,0.0310559,0.03297153,-0.03092784,0.0,0.1781768,0.20185478,-0.03551697,,ambiguous_non_override
20251117,20251118,688523,add,phase_geometry_preheat_probe,neutral_hold,preheat_window,weak_drift_chop_proxy,event_neutral,no_decisive_event,0,0,19460.0,0.01946,-0.02517986,0.50657895,0.05772883,-0.02692998,0.0,0.49464668,0.49464668,-0.11456103,,ambiguous_non_override
20251117,20251118,688066,add,phase_geometry_preheat_probe,neutral_hold,preheat_window,weak_drift_chop_proxy,event_neutral,no_decisive_event,0,0,19520.0,0.01952,-0.00737705,0.4,0.02291667,-0.01344196,0.0,0.19030004,0.19030004,-0.05918619,,clean_control
20251117,20251118,688568,add,phase_geometry_preheat_probe,neutral_hold,preheat_window,weak_drift_chop_proxy,event_neutral,no_decisive_event,0,0,16288.0,0.016288,-0.01129666,0.35555556,0.0225338,-0.01420176,0.0,0.08288509,0.08288509,-0.02616137,,clean_control
20251117,20251118,000738,open,phase_geometry_preheat_probe,neutral_hold,preheat_window,weak_drift_chop_proxy,event_neutral,no_decisive_event,0,0,38200.0,0.0382,-0.0078534,0.32258065,0.01644562,-0.01096033,0.0,-0.00939457,0.0151357,-0.02609603,,ambiguous_non_override
20251118,20251119,300342,open,phase_geometry_preheat_probe,neutral_hold,preheat_window,risk_off_deterioration_proxy,event_neutral,no_decisive_event,0,0,39795.0,0.039795,-0.02058047,0.19444444,0.03908795,-0.03030303,0.0,0.04949974,0.05160611,-0.07266983,,ambiguous_non_override
20251118,20251119,000738,add,phase_geometry_preheat_probe,neutral_hold,preheat_window,risk_off_deterioration_proxy,event_neutral,no_decisive_event,0,0,20834.0,0.020834,0.01108765,0.82142857,0.01479915,-0.00260417,0.0,-0.00949868,0.02638522,-0.01530343,,clean_control
20251118,20251119,600879,open,phase_geometry_preheat_probe,neutral_hold,preheat_window,risk_off_deterioration_proxy,event_neutral,no_decisive_event,0,0,39886.0,0.039886,-0.00371058,0.625,0.01503759,-0.00555556,0.0,0.08379888,0.08379888,-0.03072626,,clean_control
20251118,20251119,601698,open,phase_geometry_preheat_probe,neutral_hold,preheat_window,risk_off_deterioration_proxy,event_neutral,no_decisive_event,0,0,39710.0,0.03971,-0.00430622,0.35714286,0.01352004,-0.00857551,0.0,0.01148325,0.02200957,-0.03444976,,clean_control
20251118,20251119,600118,open,phase_geometry_preheat_probe,neutral_hold,preheat_window,risk_off_deterioration_proxy,event_neutral,no_decisive_event,0,0,37548.0,0.037548,-0.01390221,0.14117647,0.0207216,-0.01743492,0.0,0.03216445,0.05006046,-0.0362757,,ambiguous_non_override
20251119,20251120,300342,add,phase_geometry_preheat_probe,neutral_hold,preheat_window,weak_drift_chop_proxy,event_neutral,no_decisive_event,0,0,18590.0,0.01859,0.00215169,0.38333333,0.0326087,-0.01947368,0.0,0.07165948,0.07596983,-0.05118534,,clean_control
20251119,20251120,601698,add,phase_geometry_preheat_probe,neutral_hold,preheat_window,weak_drift_chop_proxy,event_neutral,no_decisive_event,0,0,18801.0,0.018801,-0.00813787,0.03846154,0.01255432,-0.01192179,0.0,-0.00432484,0.0264296,-0.03027391,,ambiguous_non_override
20251119,20251120,600879,add,phase_geometry_preheat_probe,neutral_hold,preheat_window,weak_drift_chop_proxy,event_neutral,no_decisive_event,0,0,19386.0,0.019386,-0.00278552,0.21052632,0.01775701,-0.0137741,0.0,0.05586592,0.08379888,-0.03072626,,ambiguous_non_override
20251119,20251120,002465,open,phase_geometry_preheat_probe,neutral_hold,preheat_window,weak_drift_chop_proxy,event_neutral,no_decisive_event,0,0,39746.0,0.039746,0.00342173,0.52941176,0.01460481,-0.00677392,0.0,0.03421728,0.05731394,-0.03165098,,clean_control
20251119,20251120,002085,open,phase_geometry_preheat_probe,neutral_hold,preheat_window,weak_drift_chop_proxy,event_neutral,no_decisive_event,0,0,39675.0,0.039675,-0.02583491,0.02272727,0.02847896,-0.02706104,0.0,-0.01519949,0.02406586,-0.03419886,,ambiguous_non_override
20251120,20251121,002465,add,phase_geometry_preheat_probe,neutral_hold,preheat_window,weak_drift_chop_proxy,event_neutral,no_decisive_event,0,0,19805.0,0.019805,-0.02832618,0.18,0.0445236,-0.03495311,0.0,0.0511509,0.05370844,-0.03495311,,ambiguous_non_override
20251120,20251121,002085,add,phase_geometry_preheat_probe,neutral_hold,preheat_window,weak_drift_chop_proxy,event_neutral,no_decisive_event,0,0,19864.0,0.019864,-0.00196335,0.44186047,0.02855246,-0.01549387,0.0,0.00064683,0.04592497,-0.01358344,,clean_control
20251120,20251121,600118,add,phase_geometry_preheat_probe,neutral_hold,preheat_window,weak_drift_chop_proxy,event_neutral,no_decisive_event,0,0,16176.0,0.016176,-0.01458952,0.17142857,0.04424779,-0.03510896,0.0,0.11821941,0.11821941,-0.03064948,,ambiguous_non_override
20251127,20251128,688523,add,phase_geometry_preheat_probe,probe_eligibility_target,preheat_window,weak_drift_chop_proxy,event_neutral,no_decisive_event,0,0,35640.0,0.03564,0.17407407,1.0,0.2,0.0,0.0,0.22870662,0.38170347,0.2,,clean_control
20251128,20251201,688568,open,phase_geometry_preheat_probe,neutral_hold,preheat_window,sentiment_overdrive_transition_proxy,event_neutral,no_decisive_event,0,0,39510.0,0.03951,0.00888383,0.25550661,0.0519332,-0.03675511,0.0,0.10117539,0.10117539,0.00737497,,ambiguous_non_override
20251201,20251202,688568,add,phase_geometry_preheat_probe,neutral_hold,preheat_window,sentiment_overdrive_transition_proxy,event_neutral,no_decisive_event,0,0,17604.0,0.017604,0.02522154,0.668,0.0575374,-0.01806311,0.0,0.07812147,0.07879883,-0.01309551,,clean_control
20251203,20251204,688066,open,phase_geometry_preheat_probe,neutral_hold,preheat_window,risk_off_deterioration_proxy,event_neutral,no_decisive_event,0,0,38304.0,0.038304,0.02266082,0.46236559,0.10453353,-0.05088195,0.0,-0.02887427,0.08991228,-0.02887427,,clean_control
20251203,20251204,300342,add,phase_geometry_preheat_probe,probe_eligibility_target,preheat_window,risk_off_deterioration_proxy,event_neutral,no_decisive_event,0,0,37088.0,0.037088,0.04918033,0.66451613,0.07969152,-0.0247619,0.0,0.26546003,0.35344394,0.02966315,,clean_control
20251203,20251204,000738,open,phase_geometry_preheat_probe,neutral_hold,preheat_window,risk_off_deterioration_proxy,event_neutral,no_decisive_event,0,0,38913.0,0.038913,0.01133297,0.525,0.02158662,-0.01003698,0.0,0.04410974,0.05970952,0.00806885,,clean_control
20251204,20251205,600879,open,phase_geometry_preheat_probe,full_eligibility_target,preheat_window,weak_drift_chop_proxy,event_neutral,no_decisive_event,0,0,39633.0,0.039633,0.05661948,0.72897196,0.08984047,-0.02234206,0.0,0.40946166,0.41924959,0.03507341,,clean_control
20251204,20251205,688066,add,phase_geometry_preheat_probe,neutral_hold,preheat_window,weak_drift_chop_proxy,event_neutral,no_decisive_event,0,0,19250.0,0.01925,0.06909091,0.76678445,0.10392949,-0.02195609,0.0,-0.01715511,0.06576126,-0.05039314,,clean_control
20251204,20251205,300342,add,phase_geometry_preheat_probe,full_eligibility_target,preheat_window,weak_drift_chop_proxy,event_neutral,no_decisive_event,0,0,18738.0,0.018738,0.00960615,0.71962617,0.05283951,-0.01407129,0.0,0.43212891,0.43212891,0.02636719,,clean_control
20251204,20251205,601698,open,phase_geometry_preheat_probe,neutral_hold,preheat_window,weak_drift_chop_proxy,event_neutral,no_decisive_event,0,0,38340.0,0.03834,0.03098592,0.85263158,0.04491726,-0.00633484,0.0,0.14948932,0.14948932,0.01949861,,clean_control
20251205,20251208,002465,open,phase_geometry_preheat_full,neutral_hold,preheat_window,sentiment_overdrive_transition_proxy,event_neutral,no_decisive_event,0,0,69336.0,0.069336,-0.00233645,0.23809524,0.03304485,-0.02437167,0.0,0.03385827,0.0496063,0.00866142,,ambiguous_non_override
20251205,20251208,600879,add,phase_geometry_preheat_full,full_eligibility_target,preheat_window,sentiment_overdrive_transition_proxy,event_neutral,no_decisive_event,0,0,27216.0,0.027216,0.03472222,0.52586207,0.090625,-0.03939828,0.0,0.42395587,0.42395587,0.04728132,,clean_control
20251205,20251208,003009,open,phase_geometry_preheat_full,de_risk_target,preheat_window,sentiment_overdrive_transition_proxy,event_neutral,no_decisive_event,0,0,64000.0,0.064,-0.03640625,0.07371007,0.06631905,-0.05761002,0.0,0.00096077,0.03314652,-0.06917534,label_execution_mismatch_watch,mismatch_watch
20251205,20251208,688523,add,phase_geometry_preheat_full,de_risk_target,preheat_window,sentiment_overdrive_transition_proxy,event_neutral,no_decisive_event,0,0,13140.0,0.01314,-0.03082192,0.19214876,0.11657033,-0.08433995,0.0,-0.04063927,0.01826484,-0.11232877,label_execution_mismatch_watch,mismatch_watch
20251205,20251208,601698,add,phase_geometry_preheat_full,neutral_hold,preheat_window,sentiment_overdrive_transition_proxy,event_neutral,no_decisive_event,0,0,49060.0,0.04906,-0.00179372,0.09756098,0.03697024,-0.03217391,0.0,0.11794171,0.12750455,0.00546448,,ambiguous_non_override
20251208,20251209,300045,open,phase_geometry_preheat_full,neutral_hold,preheat_window,sentiment_overdrive_transition_proxy,event_neutral,no_decisive_event,0,0,69484.0,0.069484,0.02420701,0.62711864,0.04957983,-0.01761409,0.0,0.06788079,0.06788079,-0.00041391,,clean_control
20251208,20251209,600118,open,phase_geometry_preheat_full,full_eligibility_target,preheat_window,sentiment_overdrive_transition_proxy,event_neutral,no_decisive_event,0,0,67690.0,0.06769,0.00682523,0.49450549,0.03809125,-0.01854839,0.0,0.29563087,0.29563087,-0.00612495,,clean_control
20251209,20251210,002465,add,phase_geometry_preheat_full,neutral_hold,preheat_window,weak_drift_chop_proxy,event_neutral,no_decisive_event,0,0,34911.0,0.034911,0.01392111,0.59574468,0.03663289,-0.01428571,0.0,0.00848111,0.02852737,-0.01156515,,clean_control
20251209,20251210,600879,add,phase_geometry_preheat_full,probe_eligibility_target,preheat_window,weak_drift_chop_proxy,event_neutral,no_decisive_event,0,0,34060.0,0.03406,0.03435115,0.46464646,0.07563025,-0.03764205,0.0,0.20767494,0.35966892,0.01956358,,clean_control
20251210,20251211,300342,add,phase_geometry_preheat_full,full_eligibility_target,preheat_window,weak_drift_chop_proxy,event_neutral,no_decisive_event,0,0,25047.0,0.025047,0.02722881,0.93913043,0.05154639,-0.0029838,0.0,0.36921708,0.36921708,0.04048043,,clean_control
20251215,20251216,688568,open,phase_geometry_preheat_full,neutral_hold,preheat_window,sentiment_overdrive_transition_proxy,event_neutral,no_decisive_event,0,0,66248.0,0.066248,-0.04163145,0.22352941,0.05694506,-0.04183393,0.0,0.13947644,0.13947644,-0.05863874,,ambiguous_non_override
20251216,20251217,688066,add,phase_geometry_preheat_full,neutral_hold,preheat_window,weak_drift_chop_proxy,event_neutral,no_decisive_event,0,0,63756.0,0.063756,-0.04148629,0.18834081,0.08527725,-0.06377731,0.0,0.11107156,0.15735137,-0.0758277,,ambiguous_non_override
20251217,20251218,000738,open,phase_geometry_preheat_full,neutral_hold,preheat_window,risk_off_deterioration_proxy,event_neutral,no_decisive_event,0,0,69300.0,0.0693,0.03376623,0.69306931,0.05260417,-0.01533894,0.0,0.09788769,0.09788769,0.02524472,,clean_control
20251218,20251219,000738,add,phase_geometry_preheat_full,neutral_hold,preheat_window,sentiment_overdrive_transition_proxy,event_neutral,no_decisive_event,0,0,33507.0,0.033507,0.05580923,0.71428571,0.07813293,-0.02070588,0.0,0.07386935,0.07386935,0.00703518,,clean_control
20251218,20251219,002085,open,phase_geometry_preheat_full,neutral_hold,preheat_window,sentiment_overdrive_transition_proxy,event_neutral,no_decisive_event,0,0,68632.0,0.068632,0.02412869,0.8372093,0.02882038,-0.00456026,0.0,0.09188464,0.09188464,0.02347418,,clean_control
20251219,20251222,002085,add,phase_geometry_preheat_full,neutral_hold,preheat_window,weak_drift_chop_proxy,event_neutral,no_decisive_event,0,0,33748.0,0.033748,0.01434159,0.71428571,0.02286088,-0.0063857,0.0,0.08180628,0.08180628,-0.0013089,,clean_control
20260112,20260113,000738,open,phase_geometry_impulse_full,probe_eligibility_target,impulse_window,impulse_expansion_proxy,continuation_active,no_decisive_event,0,0,98600.0,0.0986,-0.07829615,0.09813084,0.09506886,-0.07829615,0.0,-0.03739445,0.04302372,-0.13952553,intraday_reversal_watch,reversal_watch
20260112,20260113,601698,add,phase_geometry_impulse_full,de_risk_target,impulse_window,impulse_expansion_proxy,continuation_active,no_decisive_event,0,0,86192.0,0.086192,-0.09987006,0.0,0.11095071,-0.09987006,0.0,-0.29046028,-0.10003712,-0.33463252,intraday_collapse_override_required,override_positive
20260123,20260126,000738,open,phase_geometry_impulse_full,probe_eligibility_target,impulse_window,impulse_expansion_proxy,continuation_active,no_decisive_event,0,0,99520.0,0.09952,-0.03778135,0.0,0.05680869,-0.05375494,0.0,0.05013818,0.10264508,-0.07185156,,ambiguous_non_override
20260123,20260126,300045,add,phase_geometry_impulse_full,probe_eligibility_target,impulse_window,impulse_expansion_proxy,continuation_active,no_decisive_event,0,0,74424.0,0.074424,-0.07320219,0.05,0.09087732,-0.0791413,0.0,-0.13063209,-0.05931929,-0.13128039,intraday_reversal_watch,reversal_watch
20260123,20260126,300342,add,phase_geometry_impulse_full,de_risk_target,impulse_window,impulse_expansion_proxy,continuation_active,no_decisive_event,0,0,84000.0,0.084,-0.09,0.06140351,0.12624585,-0.10521141,0.0,-0.17235189,-0.07932104,-0.18655133,intraday_collapse_override_required,override_positive
20260123,20260126,601698,add,phase_geometry_impulse_full,neutral_hold,impulse_window,impulse_expansion_proxy,continuation_active,no_decisive_event,0,0,80000.0,0.08,-0.04425,0.0,0.07245619,-0.06756098,0.0,-0.13418079,-0.04849341,-0.13418079,,ambiguous_non_override
