symbol,name,group,subgroup,confidence,source_layer,reason
001208,华菱线缆,卖铲组,特种线缆/卖铲人,base_retained,wave1,实质切入航空航天线缆与并购星鑫航天事件，非纯概念。
001270,*ST铖昌,卖铲组,星载相控阵T/R芯片,base_retained,wave1,多篇产业报道明确其在低轨卫星与星载领域持续发力，是商业航天核心芯片卖铲人。
002342,巨力索具,卖铲组,火箭回收/地面装置,base_retained,wave1,同花顺细分方向明确给出可回收火箭产品支持。
002413,雷科防务,卖铲组,有源相控阵天线,base_retained,wave1,与通宇通讯并列被点名。
002792,通宇通讯,卖铲组,有源相控阵天线,base_retained,wave1,新浪直接点名为有源相控阵天线细分龙头。
300065,海兰信,卖铲组,海上回收系统,base_retained,wave1,同花顺给出海南商发回收系统中标线索。
300129,泰胜风能,卖铲组,箭体/贮箱/回收设施,base_retained,wave1,同花顺给出与整箭商合作布局火箭结构与回收设施。
300900,广联航空,卖铲组,航天结构件/制造配套,high,wave2,火箭回收与航天制造链条中反复出现，工业位置更清晰。
301005,超捷股份,卖铲组,箭体结构件,base_retained,wave1,同花顺列出其为蓝箭/天兵/中科宇航提供箭体大部段等。
301306,西测测试,卖铲组,检测验证/质量守门人,base_retained,wave1,多篇报道把它作为商业航天核心赛道强势票，同时具备元器件到整机全流程测试验证能力。
600862,中航高科,卖铲组,航空航天复合材料,high,wave2,航天强国与航空航天材料链条中的高置信卖铲。
603267,鸿远电子,卖铲组,电子元器件,medium,wave2,常见于军工航天高端元件链，但商业航天直接度略弱于前述票。
688102,斯瑞新材,卖铲组,高温合金/材料,high,wave2,既在蓝箭相关资本映射中出现，也在高端材料链里站得住。
688122,西部超导,卖铲组,钛合金/超导材料,high,wave2,高端材料与航天应用强相关。
688143,长盈通,卖铲组,光纤器件/上游材料,high,wave2,在火箭/卫星配套材料链条中多次出现。
688270,臻镭科技,卖铲组,星载射频芯片/微系统,base_retained,wave1,卫星互联网与商业航天报道多次点名，属于星载收发链路核心芯片供应商。
688539,高华科技,卖铲组,传感器/检测配套,high,wave2,火箭回收及航天电子产业链梳理中多次出现。
688636,智明达,卖铲组,航天电子/嵌入式计算,high,wave2,多篇产业链梳理将其纳入火箭/卫星电子链。
000547,航天发展,同走势镜像组,情绪龙头/概念高辨识,base_retained,wave1,同花顺和东方财富多次点名其为商业航天高辨识龙头。
000768,中航西飞,同走势镜像组,大飞机/军工镜像,medium,wave2,更偏大飞机，但常作为航天军工风险偏好的大票镜像。
000901,航天科技,同走势镜像组,高辨识镜像,base_retained,wave1,多篇行情报道高频点名。
002361,神剑股份,同走势镜像组,情绪强势镜像,base_retained,wave1,多篇行情报道高频点名。
002519,银河电子,同走势镜像组,情绪强势镜像,base_retained,wave1,东方财富与新浪近期涨停名单中高频出现。
002865,钧达股份,同走势镜像组,跨细分热点镜像,base_retained,wave1,强势名单反复出现，适合当扩散镜像观察。
300102,乾照光电,同走势镜像组,情绪强势镜像,base_retained,wave1,多篇行情报道高频点名。
301079,邵阳液压,同走势镜像组,情绪强势镜像,base_retained,wave1,新浪、东方财富高频强势名单。
600135,乐凯胶片,同走势镜像组,情绪强势镜像,base_retained,wave1,新浪与东方财富名单中出现。
600316,洪都航空,同走势镜像组,军工高辨识镜像,medium,wave2,航天军工风险偏好抬升时常与商业航天同振。
600775,南京熊猫,同走势镜像组,情绪强势镜像,base_retained,wave1,新浪强势主升浪名单中出现。
600869,远东股份,同走势镜像组,情绪强势镜像,base_retained,wave1,新浪强势名单中出现。
601399,国机重装,同走势镜像组,情绪强势镜像,base_retained,wave1,新浪涨停主升浪名单中出现。
603698,航天工程,同走势镜像组,工程建设/高辨识镜像,medium,wave2,名称与题材耦合度高，容易成为情绪镜像。
605123,派克新材,同走势镜像组,材料/高弹性镜像,base_retained,wave1,新浪与东方财富名单中出现。
002202,金风科技,概念助推组,参股蓝箭航天/资本映射,base_retained,wave1,东方财富和社区汇总都指向其为蓝箭航天重要股权关联方。
002471,中超控股,概念助推组,主题扩散助推/高弹性,base_retained,wave1,多篇盘面与资金流报道把它列为商业航天概念主力净流入和强势涨停代表，更像A股主题助推主力。
002565,顺灏股份,概念助推组,太空算力/概念强弹性,base_retained,wave1,同花顺与新浪多次作为强势概念股提及。
600783,鲁信创投,概念助推组,参股蓝箭航天/资本映射,base_retained,wave1,东方财富、新浪、社区都把它列为典型商业航天助推主力。
603131,上海沪工,概念助推组,卫星制造/概念助推,medium,wave2,A股卫星制造与商业航天老题材高弹性标的。
603601,再升科技,概念助推组,航天保温材料/概念弹性,base_retained,wave1,具备真实航天材料和SpaceX供应逻辑，但公开资料显示当前营收仍非商业航天主导，更像高价值概念助推。
000738,航发控制,正式组,核心控制/稳定支撑,base_retained,wave1,当前本地 snapshot 已将其识别为商业航天/航天航空交叉中的稳定核心支撑。
002085,万丰奥威,正式组,低空/飞行器平台龙头,base_retained,wave1,当前本地 snapshot 已将其识别为商业航天/航空交叉中的液态主驱动之一，必须进入正式组。
002465,海格通信,正式组,通信导航配套,base_retained,wave1,近期ETF持仓和板块强势名单高频出现。
003009,中天火箭,正式组,火箭细分龙头,base_retained,wave1,行业评论反复归入高纯度商业航天链。
300045,华力创通,正式组,卫星导航/通信配套,base_retained,wave1,ETF与热点报道中多次出现。
300342,天银机电,正式组,卫星/航天配套,base_retained,wave1,ETF近期强势持仓之一。
600118,中国卫星,正式组,卫星整机/核心龙头,base_retained,wave1,多源报道反复作为商业航天和卫星制造核心龙头出现。
600879,航天电子,正式组,核心配套,base_retained,wave1,ETF持仓与热点名单反复出现，属于主驱动链条。
601698,中国卫通,正式组,卫星运营/核心龙头,base_retained,wave1,板块高辨识龙头，概念过热时也被监管风险提示。
688066,航天宏图,正式组,卫星应用/遥感服务,base_retained,wave1,多篇行业评论列作下游运营服务龙头。
688523,航天环宇,正式组,卫星/航天器配套,base_retained,wave1,近期活跃且在ETF/热点报道中持续出现。
688568,中科星图,正式组,卫星数据应用,base_retained,wave1,近期盘中强势名单高频出现。
